TTD	ConcludedLocation	ActualLocation
810	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
763	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
1330	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
558	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
942	Vector3r(9.0, 7.0, 0.0)	Vector3r(9.0, 7.0, 0.0)
809	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
1016	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
753	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
856	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
578	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
712	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
655	Vector3r(6.0, 2.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
552	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
812	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
692	Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
687	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
622	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
686	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
618	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
817	Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
579	Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
1071	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
756	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
677	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
1373	Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
1015	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
1943	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
579	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
