TTD	ConcludedLocation	ActualLocation
610	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
763	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
531	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
1044	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
655	Vector3r(9.0, 7.0, 0.0)	Vector3r(9.0, 7.0, 0.0)
809	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
775	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
594	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
801	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
824	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
890	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
741	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
497	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
749	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
555	Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
487	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
822	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
486	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
1018	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
722	Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
1023	Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
531	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
547	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
477	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
576	Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
787	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
568	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
779	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
937	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
625	Vector3r(9.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
509	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
719	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
773	Vector3r(9.0, 0.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
526	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
525	Vector3r(2.0, 3.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
474	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
799	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
702	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
701	Vector3r(2.0, 1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
508	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
555	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
795	Vector3r(3.0, 2.0, 0.0)	Vector3r(3.0, 2.0, 0.0)
1069	Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
773	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
835	Vector3r(3.0, 3.0, 0.0)	Vector3r(3.0, 3.0, 0.0)
565	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
739	Vector3r(2.0, 5.0, 0.0)	Vector3r(2.0, 5.0, 0.0)
689	Vector3r(6.0, 2.0, 0.0)	Vector3r(6.0, 2.0, 0.0)
791	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
800	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
788	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
712	Vector3r(8.0, 8.0, 0.0)	Vector3r(8.0, 8.0, 0.0)
1074	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
892	Vector3r(8.0, 7.0, 0.0)	Vector3r(8.0, 7.0, 0.0)
1102	Vector3r(1.0, 0.0, 0.0)	Vector3r(2.0, 4.0, 0.0)
541	Vector3r(4.0, 7.0, 0.0)	Vector3r(4.0, 7.0, 0.0)
789	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
495	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
748	Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0)
