TTD	ConcludedLocation	ActualLocation
742	Vector3r(9.0, 1.0, 0.0),Vector3r(6.0, 8.0, 0.0)	Vector3r(9.0, 1.0, 0.0),Vector3r(6.0, 8.0, 0.0)
721	Vector3r(5.0, 6.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 3.0, 0.0),Vector3r(5.0, 6.0, 0.0)
1293	Vector3r(3.0, 9.0, 0.0),Vector3r(6.0, 5.0, 0.0)	Vector3r(3.0, 9.0, 0.0),Vector3r(6.0, 5.0, 0.0)
600	Vector3r(5.0, 6.0, 0.0),Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0),Vector3r(5.0, 6.0, 0.0)
630	Vector3r(4.0, 7.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 7.0, 0.0),Vector3r(8.0, 6.0, 0.0)
719	Vector3r(4.0, 6.0, 0.0),Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0),Vector3r(4.0, 6.0, 0.0)
708	Vector3r(3.0, 2.0, 0.0),Vector3r(9.0, 2.0, 0.0)	Vector3r(2.0, 1.0, 0.0),Vector3r(3.0, 2.0, 0.0)
527	Vector3r(8.0, 5.0, 0.0),Vector3r(2.0, 8.0, 0.0)	Vector3r(8.0, 5.0, 0.0),Vector3r(2.0, 8.0, 0.0)
902	Vector3r(0.0, 3.0, 0.0),Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0),Vector3r(0.0, 3.0, 0.0)
947	Vector3r(6.0, 6.0, 0.0),Vector3r(8.0, 7.0, 0.0)	Vector3r(8.0, 7.0, 0.0),Vector3r(6.0, 6.0, 0.0)
860	Vector3r(8.0, 0.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 0.0, 0.0),Vector3r(8.0, 0.0, 0.0)
599	Vector3r(9.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 5.0, 0.0),Vector3r(9.0, 1.0, 0.0)
634	Vector3r(7.0, 3.0, 0.0),Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 3.0, 0.0),Vector3r(7.0, 4.0, 0.0)
696	Vector3r(3.0, 7.0, 0.0),Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0),Vector3r(3.0, 7.0, 0.0)
865	Vector3r(6.0, 6.0, 0.0),Vector3r(2.0, 5.0, 0.0)	Vector3r(2.0, 5.0, 0.0),Vector3r(6.0, 6.0, 0.0)
681	Vector3r(4.0, 9.0, 0.0),Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0),Vector3r(4.0, 9.0, 0.0)
1151	Vector3r(1.0, 2.0, 0.0),Vector3r(8.0, 3.0, 0.0)	Vector3r(1.0, 2.0, 0.0),Vector3r(8.0, 3.0, 0.0)
637	Vector3r(7.0, 6.0, 0.0),Vector3r(0.0, 4.0, 0.0)	Vector3r(7.0, 6.0, 0.0),Vector3r(0.0, 4.0, 0.0)
901	Vector3r(8.0, 8.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 9.0, 0.0),Vector3r(8.0, 8.0, 0.0)
699	Vector3r(0.0, 3.0, 0.0),Vector3r(6.0, 0.0, 0.0)	Vector3r(6.0, 0.0, 0.0),Vector3r(0.0, 3.0, 0.0)
724	Vector3r(5.0, 8.0, 0.0),Vector3r(3.0, 0.0, 0.0)	Vector3r(3.0, 0.0, 0.0),Vector3r(5.0, 8.0, 0.0)
1437	Vector3r(1.0, 4.0, 0.0),Vector3r(0.0, 2.0, 0.0)	Vector3r(1.0, 4.0, 0.0),Vector3r(0.0, 2.0, 0.0)
682	Vector3r(0.0, 9.0, 0.0),Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0),Vector3r(0.0, 9.0, 0.0)
579	Vector3r(4.0, 4.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 1.0, 0.0),Vector3r(4.0, 4.0, 0.0)
913	Vector3r(6.0, 7.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 9.0, 0.0),Vector3r(6.0, 7.0, 0.0)
882	Vector3r(1.0, 0.0, 0.0),Vector3r(6.0, 9.0, 0.0)	Vector3r(6.0, 9.0, 0.0),Vector3r(1.0, 0.0, 0.0)
1066	Vector3r(6.0, 2.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 2.0, 0.0),Vector3r(5.0, 4.0, 0.0)
858	Vector3r(3.0, 9.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 9.0, 0.0),Vector3r(7.0, 8.0, 0.0)
1148	Vector3r(1.0, 4.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 4.0, 0.0),Vector3r(7.0, 9.0, 0.0)
743	Vector3r(1.0, 8.0, 0.0),Vector3r(2.0, 7.0, 0.0)	Vector3r(2.0, 7.0, 0.0),Vector3r(1.0, 8.0, 0.0)
738	Vector3r(1.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 1.0, 0.0),Vector3r(7.0, 2.0, 0.0)
