TTD	ConcludedLocation	ActualLocation
576	Vector3r(6.0, 8.0, 0.0),Vector3r(9.0, 1.0, 0.0)	Vector3r(6.0, 8.0, 0.0),Vector3r(9.0, 1.0, 0.0)
945	Vector3r(2.0, 0.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 0.0, 0.0),Vector3r(7.0, 5.0, 0.0)
435	Vector3r(4.0, 1.0, 0.0),Vector3r(9.0, 8.0, 0.0)	Vector3r(4.0, 1.0, 0.0),Vector3r(9.0, 8.0, 0.0)
1364	Vector3r(2.0, 0.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 0.0, 0.0),Vector3r(6.0, 1.0, 0.0)
554	Vector3r(0.0, 0.0, 0.0),Vector3r(2.0, 4.0, 0.0)	Vector3r(2.0, 4.0, 0.0),Vector3r(0.0, 0.0, 0.0)
555	Vector3r(7.0, 6.0, 0.0),Vector3r(7.0, 5.0, 0.0)	Vector3r(7.0, 6.0, 0.0),Vector3r(1.0, 5.0, 0.0)
776	Vector3r(5.0, 2.0, 0.0),Vector3r(8.0, 6.0, 0.0)	Vector3r(8.0, 6.0, 0.0),Vector3r(5.0, 2.0, 0.0)
970	Vector3r(3.0, 6.0, 0.0),Vector3r(4.0, 7.0, 0.0)	Vector3r(3.0, 6.0, 0.0),Vector3r(4.0, 7.0, 0.0)
919	Vector3r(6.0, 6.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 6.0, 0.0),Vector3r(3.0, 8.0, 0.0)
530	Vector3r(7.0, 1.0, 0.0),Vector3r(0.0, 5.0, 0.0)	Vector3r(7.0, 1.0, 0.0),Vector3r(0.0, 5.0, 0.0)
625	Vector3r(3.0, 3.0, 0.0),Vector3r(3.0, 4.0, 0.0)	Vector3r(3.0, 3.0, 0.0),Vector3r(6.0, 1.0, 0.0)
1314	Vector3r(4.0, 6.0, 0.0),Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0),Vector3r(4.0, 6.0, 0.0)
677	Vector3r(8.0, 6.0, 0.0),Vector3r(1.0, 3.0, 0.0)	Vector3r(8.0, 6.0, 0.0),Vector3r(1.0, 3.0, 0.0)
615	Vector3r(4.0, 9.0, 0.0),Vector3r(5.0, 7.0, 0.0)	Vector3r(4.0, 9.0, 0.0),Vector3r(5.0, 7.0, 0.0)
699	Vector3r(7.0, 2.0, 0.0),Vector3r(2.0, 5.0, 0.0)	Vector3r(2.0, 5.0, 0.0),Vector3r(7.0, 2.0, 0.0)
627	Vector3r(3.0, 2.0, 0.0),Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0),Vector3r(3.0, 2.0, 0.0)
384	Vector3r(7.0, 4.0, 0.0),Vector3r(7.0, 6.0, 0.0)	Vector3r(7.0, 4.0, 0.0),Vector3r(7.0, 6.0, 0.0)
626	Vector3r(3.0, 3.0, 0.0),Vector3r(9.0, 1.0, 0.0)	Vector3r(3.0, 3.0, 0.0),Vector3r(9.0, 1.0, 0.0)
962	Vector3r(5.0, 0.0, 0.0),Vector3r(4.0, 3.0, 0.0)	Vector3r(4.0, 3.0, 0.0),Vector3r(5.0, 0.0, 0.0)
903	Vector3r(2.0, 0.0, 0.0),Vector3r(2.0, 3.0, 0.0)	Vector3r(2.0, 3.0, 0.0),Vector3r(2.0, 0.0, 0.0)
718	Vector3r(7.0, 3.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 0.0, 0.0),Vector3r(7.0, 3.0, 0.0)
841	Vector3r(1.0, 4.0, 0.0),Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0),Vector3r(1.0, 4.0, 0.0)
1140	Vector3r(1.0, 9.0, 0.0),Vector3r(9.0, 8.0, 0.0)	Vector3r(1.0, 9.0, 0.0),Vector3r(9.0, 8.0, 0.0)
772	Vector3r(0.0, 0.0, 0.0),Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0),Vector3r(0.0, 0.0, 0.0)
316	Vector3r(9.0, 5.0, 0.0),Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 5.0, 0.0),Vector3r(9.0, 2.0, 0.0)
788	Vector3r(4.0, 4.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 4.0, 0.0),Vector3r(7.0, 3.0, 0.0)
1270	Vector3r(7.0, 4.0, 0.0),Vector3r(9.0, 8.0, 0.0)	Vector3r(7.0, 4.0, 0.0),Vector3r(9.0, 8.0, 0.0)
648	Vector3r(3.0, 2.0, 0.0),Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0),Vector3r(3.0, 2.0, 0.0)
1073	Vector3r(9.0, 7.0, 0.0),Vector3r(8.0, 1.0, 0.0)	Vector3r(9.0, 7.0, 0.0),Vector3r(8.0, 1.0, 0.0)
692	Vector3r(3.0, 8.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 6.0, 0.0),Vector3r(3.0, 8.0, 0.0)
1000	Vector3r(3.0, 8.0, 0.0),Vector3r(5.0, 4.0, 0.0)	Vector3r(5.0, 4.0, 0.0),Vector3r(3.0, 8.0, 0.0)
1005	Vector3r(2.0, 2.0, 0.0),Vector3r(7.0, 7.0, 0.0)	Vector3r(2.0, 2.0, 0.0),Vector3r(7.0, 7.0, 0.0)
846	Vector3r(0.0, 6.0, 0.0),Vector3r(5.0, 2.0, 0.0)	Vector3r(0.0, 6.0, 0.0),Vector3r(5.0, 2.0, 0.0)
915	Vector3r(1.0, 0.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 0.0, 0.0),Vector3r(0.0, 8.0, 0.0)
752	Vector3r(9.0, 5.0, 0.0),Vector3r(8.0, 0.0, 0.0)	Vector3r(8.0, 0.0, 0.0),Vector3r(9.0, 5.0, 0.0)
634	Vector3r(2.0, 6.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 9.0, 0.0),Vector3r(2.0, 6.0, 0.0)
1192	Vector3r(5.0, 1.0, 0.0),Vector3r(9.0, 6.0, 0.0)	Vector3r(9.0, 6.0, 0.0),Vector3r(5.0, 1.0, 0.0)
536	Vector3r(0.0, 7.0, 0.0),Vector3r(9.0, 4.0, 0.0)	Vector3r(0.0, 7.0, 0.0),Vector3r(9.0, 4.0, 0.0)
685	Vector3r(4.0, 6.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 3.0, 0.0),Vector3r(4.0, 6.0, 0.0)
855	Vector3r(3.0, 9.0, 0.0),Vector3r(8.0, 9.0, 0.0)	Vector3r(3.0, 9.0, 0.0),Vector3r(8.0, 9.0, 0.0)
690	Vector3r(4.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 1.0, 0.0),Vector3r(3.0, 1.0, 0.0)
400	Vector3r(9.0, 8.0, 0.0),Vector3r(0.0, 3.0, 0.0)	Vector3r(0.0, 3.0, 0.0),Vector3r(9.0, 8.0, 0.0)
543	Vector3r(9.0, 2.0, 0.0),Vector3r(2.0, 9.0, 0.0)	Vector3r(2.0, 9.0, 0.0),Vector3r(9.0, 2.0, 0.0)
899	Vector3r(1.0, 3.0, 0.0),Vector3r(4.0, 5.0, 0.0)	Vector3r(4.0, 5.0, 0.0),Vector3r(1.0, 3.0, 0.0)
1314	Vector3r(8.0, 1.0, 0.0),Vector3r(7.0, 1.0, 0.0)	Vector3r(7.0, 1.0, 0.0),Vector3r(8.0, 1.0, 0.0)
1194	Vector3r(8.0, 3.0, 0.0),Vector3r(0.0, 3.0, 0.0)	Vector3r(8.0, 3.0, 0.0),Vector3r(0.0, 3.0, 0.0)
894	Vector3r(1.0, 5.0, 0.0),Vector3r(3.0, 9.0, 0.0)	Vector3r(3.0, 9.0, 0.0),Vector3r(1.0, 5.0, 0.0)
982	Vector3r(0.0, 3.0, 0.0),Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0),Vector3r(0.0, 3.0, 0.0)
462	Vector3r(2.0, 4.0, 0.0),Vector3r(9.0, 8.0, 0.0)	Vector3r(2.0, 4.0, 0.0),Vector3r(9.0, 8.0, 0.0)
811	Vector3r(4.0, 8.0, 0.0),Vector3r(0.0, 6.0, 0.0)	Vector3r(4.0, 8.0, 0.0),Vector3r(0.0, 6.0, 0.0)
1458	Vector3r(2.0, 6.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 4.0, 0.0),Vector3r(2.0, 6.0, 0.0)
990	Vector3r(8.0, 3.0, 0.0),Vector3r(9.0, 2.0, 0.0)	Vector3r(8.0, 3.0, 0.0),Vector3r(9.0, 2.0, 0.0)
916	Vector3r(7.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 1.0, 0.0),Vector3r(0.0, 9.0, 0.0)
523	Vector3r(2.0, 6.0, 0.0),Vector3r(1.0, 7.0, 0.0)	Vector3r(1.0, 7.0, 0.0),Vector3r(2.0, 6.0, 0.0)
748	Vector3r(6.0, 3.0, 0.0),Vector3r(3.0, 9.0, 0.0)	Vector3r(3.0, 9.0, 0.0),Vector3r(7.0, 5.0, 0.0)
1857	Vector3r(7.0, 9.0, 0.0),Vector3r(5.0, 7.0, 0.0)	Vector3r(5.0, 7.0, 0.0),Vector3r(7.0, 9.0, 0.0)
856	Vector3r(0.0, 8.0, 0.0),Vector3r(8.0, 2.0, 0.0)	Vector3r(8.0, 2.0, 0.0),Vector3r(0.0, 8.0, 0.0)
873	Vector3r(0.0, 1.0, 0.0),Vector3r(5.0, 6.0, 0.0)	Vector3r(0.0, 1.0, 0.0),Vector3r(5.0, 6.0, 0.0)
1044	Vector3r(0.0, 8.0, 0.0),Vector3r(2.0, 4.0, 0.0)	Vector3r(2.0, 4.0, 0.0),Vector3r(0.0, 8.0, 0.0)
488	Vector3r(1.0, 7.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 7.0, 0.0),Vector3r(6.0, 6.0, 0.0)
624	Vector3r(4.0, 4.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 4.0, 0.0),Vector3r(8.0, 9.0, 0.0)
562	Vector3r(6.0, 7.0, 0.0),Vector3r(4.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0),Vector3r(4.0, 7.0, 0.0)
462	Vector3r(1.0, 4.0, 0.0),Vector3r(6.0, 5.0, 0.0)	Vector3r(6.0, 5.0, 0.0),Vector3r(1.0, 4.0, 0.0)
801	Vector3r(3.0, 4.0, 0.0),Vector3r(0.0, 9.0, 0.0)	Vector3r(3.0, 4.0, 0.0),Vector3r(0.0, 9.0, 0.0)
714	Vector3r(9.0, 7.0, 0.0),Vector3r(6.0, 7.0, 0.0)	Vector3r(9.0, 7.0, 0.0),Vector3r(6.0, 7.0, 0.0)
1002	Vector3r(3.0, 9.0, 0.0),Vector3r(9.0, 0.0, 0.0)	Vector3r(3.0, 9.0, 0.0),Vector3r(9.0, 0.0, 0.0)
828	Vector3r(9.0, 4.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 4.0, 0.0),Vector3r(7.0, 0.0, 0.0)
687	Vector3r(7.0, 8.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 8.0, 0.0),Vector3r(0.0, 9.0, 0.0)
1083	Vector3r(2.0, 9.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 9.0, 0.0),Vector3r(4.0, 4.0, 0.0)
950	Vector3r(0.0, 8.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 4.0, 0.0),Vector3r(0.0, 8.0, 0.0)
1269	Vector3r(9.0, 0.0, 0.0),Vector3r(2.0, 4.0, 0.0)	Vector3r(9.0, 0.0, 0.0),Vector3r(2.0, 4.0, 0.0)
467	Vector3r(5.0, 4.0, 0.0),Vector3r(3.0, 2.0, 0.0)	Vector3r(5.0, 4.0, 0.0),Vector3r(3.0, 2.0, 0.0)
732	Vector3r(5.0, 8.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 5.0, 0.0),Vector3r(5.0, 8.0, 0.0)
795	Vector3r(2.0, 8.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 8.0, 0.0),Vector3r(9.0, 8.0, 0.0)
644	Vector3r(5.0, 9.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 9.0, 0.0),Vector3r(1.0, 4.0, 0.0)
1298	Vector3r(4.0, 9.0, 0.0),Vector3r(1.0, 1.0, 0.0)	Vector3r(4.0, 9.0, 0.0),Vector3r(1.0, 1.0, 0.0)
957	Vector3r(1.0, 8.0, 0.0),Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0),Vector3r(1.0, 8.0, 0.0)
