TTD	ConcludedLocation	ActualLocation
735	Vector3r(9.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 1.0, 0.0),Vector3r(6.0, 8.0, 0.0)
548	Vector3r(8.0, 8.0, 0.0),Vector3r(1.0, 5.0, 0.0)	Vector3r(8.0, 8.0, 0.0),Vector3r(1.0, 5.0, 0.0)
323	Vector3r(3.0, 6.0, 0.0),Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0),Vector3r(3.0, 6.0, 0.0)
603	Vector3r(3.0, 3.0, 0.0),Vector3r(5.0, 9.0, 0.0)	Vector3r(5.0, 9.0, 0.0),Vector3r(3.0, 3.0, 0.0)
530	Vector3r(4.0, 4.0, 0.0),Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0),Vector3r(4.0, 4.0, 0.0)
390	Vector3r(5.0, 6.0, 0.0),Vector3r(0.0, 7.0, 0.0)	Vector3r(5.0, 6.0, 0.0),Vector3r(0.0, 7.0, 0.0)
997	Vector3r(7.0, 0.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 0.0, 0.0),Vector3r(3.0, 3.0, 0.0)
265	Vector3r(0.0, 5.0, 0.0),Vector3r(7.0, 7.0, 0.0)	Vector3r(7.0, 7.0, 0.0),Vector3r(0.0, 5.0, 0.0)
1000	Vector3r(0.0, 0.0, 0.0),Vector3r(9.0, 4.0, 0.0)	Vector3r(0.0, 0.0, 0.0),Vector3r(9.0, 4.0, 0.0)
826	Vector3r(1.0, 0.0, 0.0),Vector3r(7.0, 2.0, 0.0)	Vector3r(1.0, 0.0, 0.0),Vector3r(7.0, 2.0, 0.0)
868	Vector3r(1.0, 1.0, 0.0),Vector3r(3.0, 9.0, 0.0)	Vector3r(3.0, 9.0, 0.0),Vector3r(1.0, 1.0, 0.0)
866	Vector3r(7.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 1.0, 0.0),Vector3r(0.0, 5.0, 0.0)
681	Vector3r(7.0, 4.0, 0.0),Vector3r(2.0, 3.0, 0.0)	Vector3r(2.0, 3.0, 0.0),Vector3r(7.0, 4.0, 0.0)
678	Vector3r(7.0, 4.0, 0.0),Vector3r(0.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0),Vector3r(7.0, 4.0, 0.0)
614	Vector3r(4.0, 4.0, 0.0),Vector3r(2.0, 1.0, 0.0)	Vector3r(2.0, 1.0, 0.0),Vector3r(5.0, 5.0, 0.0)
789	Vector3r(8.0, 8.0, 0.0),Vector3r(4.0, 2.0, 0.0)	Vector3r(8.0, 8.0, 0.0),Vector3r(4.0, 2.0, 0.0)
535	Vector3r(6.0, 6.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 6.0, 0.0),Vector3r(9.0, 6.0, 0.0)
699	Vector3r(8.0, 3.0, 0.0),Vector3r(5.0, 5.0, 0.0)	Vector3r(5.0, 5.0, 0.0),Vector3r(8.0, 3.0, 0.0)
594	Vector3r(7.0, 1.0, 0.0),Vector3r(5.0, 6.0, 0.0)	Vector3r(7.0, 1.0, 0.0),Vector3r(5.0, 6.0, 0.0)
1446	Vector3r(7.0, 1.0, 0.0),Vector3r(5.0, 9.0, 0.0)	Vector3r(7.0, 1.0, 0.0),Vector3r(5.0, 9.0, 0.0)
512	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 4.0, 0.0),Vector3r(4.0, 8.0, 0.0)
774	Vector3r(1.0, 7.0, 0.0),Vector3r(0.0, 5.0, 0.0)	Vector3r(1.0, 7.0, 0.0),Vector3r(0.0, 5.0, 0.0)
1368	Vector3r(1.0, 2.0, 0.0),Vector3r(4.0, 1.0, 0.0)	Vector3r(4.0, 1.0, 0.0),Vector3r(1.0, 2.0, 0.0)
741	Vector3r(1.0, 3.0, 0.0),Vector3r(5.0, 4.0, 0.0)	Vector3r(5.0, 4.0, 0.0),Vector3r(1.0, 3.0, 0.0)
506	Vector3r(4.0, 3.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 3.0, 0.0),Vector3r(0.0, 7.0, 0.0)
812	Vector3r(1.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 1.0, 0.0),Vector3r(0.0, 3.0, 0.0)
776	Vector3r(6.0, 5.0, 0.0),Vector3r(2.0, 3.0, 0.0)	Vector3r(6.0, 5.0, 0.0),Vector3r(2.0, 3.0, 0.0)
872	Vector3r(2.0, 2.0, 0.0),Vector3r(3.0, 0.0, 0.0)	Vector3r(2.0, 2.0, 0.0),Vector3r(3.0, 0.0, 0.0)
299	Vector3r(4.0, 7.0, 0.0),Vector3r(3.0, 0.0, 0.0)	Vector3r(4.0, 7.0, 0.0),Vector3r(3.0, 0.0, 0.0)
591	Vector3r(8.0, 4.0, 0.0),Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 0.0, 0.0),Vector3r(8.0, 4.0, 0.0)
1271	Vector3r(3.0, 9.0, 0.0),Vector3r(4.0, 3.0, 0.0)	Vector3r(4.0, 3.0, 0.0),Vector3r(3.0, 9.0, 0.0)
655	Vector3r(8.0, 3.0, 0.0),Vector3r(8.0, 2.0, 0.0)	Vector3r(8.0, 2.0, 0.0),Vector3r(8.0, 3.0, 0.0)
