TTD	ConcludedLocation	ActualLocation
718	Vector3r(9.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 8.0, 0.0),Vector3r(9.0, 1.0, 0.0)
815	Vector3r(6.0, 6.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 6.0, 0.0),Vector3r(6.0, 4.0, 0.0)
443	Vector3r(3.0, 6.0, 0.0),Vector3r(1.0, 5.0, 0.0)	Vector3r(3.0, 6.0, 0.0),Vector3r(1.0, 5.0, 0.0)
848	Vector3r(8.0, 3.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 0.0, 0.0),Vector3r(8.0, 3.0, 0.0)
515	Vector3r(9.0, 6.0, 0.0),Vector3r(0.0, 8.0, 0.0)	Vector3r(9.0, 6.0, 0.0),Vector3r(0.0, 8.0, 0.0)
669	Vector3r(8.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 1.0, 0.0),Vector3r(2.0, 3.0, 0.0)
938	Vector3r(2.0, 3.0, 0.0),Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0),Vector3r(2.0, 3.0, 0.0)
1220	Vector3r(4.0, 3.0, 0.0),Vector3r(9.0, 5.0, 0.0)	Vector3r(4.0, 3.0, 0.0),Vector3r(9.0, 5.0, 0.0)
1075	Vector3r(9.0, 9.0, 0.0),Vector3r(1.0, 3.0, 0.0)	Vector3r(9.0, 9.0, 0.0),Vector3r(5.0, 9.0, 0.0)
942	Vector3r(1.0, 0.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 0.0, 0.0),Vector3r(3.0, 0.0, 0.0)
1245	Vector3r(4.0, 8.0, 0.0),Vector3r(5.0, 9.0, 0.0)	Vector3r(4.0, 8.0, 0.0),Vector3r(5.0, 9.0, 0.0)
630	Vector3r(0.0, 5.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 2.0, 0.0),Vector3r(0.0, 5.0, 0.0)
1495	Vector3r(5.0, 3.0, 0.0),Vector3r(4.0, 8.0, 0.0)	Vector3r(4.0, 8.0, 0.0),Vector3r(5.0, 3.0, 0.0)
769	Vector3r(4.0, 7.0, 0.0),Vector3r(0.0, 3.0, 0.0)	Vector3r(4.0, 7.0, 0.0),Vector3r(0.0, 3.0, 0.0)
852	Vector3r(2.0, 5.0, 0.0),Vector3r(8.0, 2.0, 0.0)	Vector3r(2.0, 5.0, 0.0),Vector3r(8.0, 2.0, 0.0)
570	Vector3r(0.0, 4.0, 0.0),Vector3r(7.0, 8.0, 0.0)	Vector3r(0.0, 4.0, 0.0),Vector3r(7.0, 8.0, 0.0)
1147	Vector3r(7.0, 9.0, 0.0),Vector3r(4.0, 3.0, 0.0)	Vector3r(4.0, 3.0, 0.0),Vector3r(7.0, 9.0, 0.0)
595	Vector3r(8.0, 3.0, 0.0),Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0),Vector3r(8.0, 3.0, 0.0)
570	Vector3r(0.0, 2.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 8.0, 0.0),Vector3r(0.0, 2.0, 0.0)
437	Vector3r(0.0, 7.0, 0.0),Vector3r(0.0, 3.0, 0.0)	Vector3r(0.0, 7.0, 0.0),Vector3r(0.0, 3.0, 0.0)
657	Vector3r(0.0, 7.0, 0.0),Vector3r(9.0, 6.0, 0.0)	Vector3r(9.0, 6.0, 0.0),Vector3r(0.0, 7.0, 0.0)
619	Vector3r(0.0, 1.0, 0.0),Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0),Vector3r(0.0, 1.0, 0.0)
954	Vector3r(6.0, 9.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 1.0, 0.0),Vector3r(6.0, 9.0, 0.0)
354	Vector3r(2.0, 5.0, 0.0),Vector3r(4.0, 7.0, 0.0)	Vector3r(2.0, 5.0, 0.0),Vector3r(4.0, 7.0, 0.0)
1141	Vector3r(5.0, 3.0, 0.0),Vector3r(8.0, 8.0, 0.0)	Vector3r(5.0, 3.0, 0.0),Vector3r(8.0, 8.0, 0.0)
699	Vector3r(6.0, 2.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 7.0, 0.0),Vector3r(6.0, 2.0, 0.0)
941	Vector3r(6.0, 9.0, 0.0),Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0),Vector3r(6.0, 9.0, 0.0)
375	Vector3r(9.0, 9.0, 0.0),Vector3r(6.0, 0.0, 0.0)	Vector3r(6.0, 0.0, 0.0),Vector3r(9.0, 9.0, 0.0)
942	Vector3r(3.0, 6.0, 0.0),Vector3r(7.0, 6.0, 0.0)	Vector3r(3.0, 6.0, 0.0),Vector3r(7.0, 6.0, 0.0)
1084	Vector3r(9.0, 9.0, 0.0),Vector3r(9.0, 8.0, 0.0)	Vector3r(9.0, 8.0, 0.0),Vector3r(9.0, 9.0, 0.0)
883	Vector3r(1.0, 8.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 8.0, 0.0),Vector3r(6.0, 1.0, 0.0)
599	Vector3r(9.0, 6.0, 0.0),Vector3r(2.0, 9.0, 0.0)	Vector3r(2.0, 9.0, 0.0),Vector3r(9.0, 6.0, 0.0)
1300	Vector3r(1.0, 3.0, 0.0),Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0),Vector3r(1.0, 3.0, 0.0)
863	Vector3r(8.0, 6.0, 0.0),Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0),Vector3r(8.0, 6.0, 0.0)
509	Vector3r(8.0, 7.0, 0.0),Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0),Vector3r(8.0, 7.0, 0.0)
1159	Vector3r(7.0, 3.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 3.0, 0.0),Vector3r(2.0, 0.0, 0.0)
925	Vector3r(9.0, 6.0, 0.0),Vector3r(9.0, 8.0, 0.0)	Vector3r(9.0, 6.0, 0.0),Vector3r(9.0, 8.0, 0.0)
501	Vector3r(8.0, 7.0, 0.0),Vector3r(3.0, 0.0, 0.0)	Vector3r(8.0, 7.0, 0.0),Vector3r(3.0, 0.0, 0.0)
891	Vector3r(2.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 1.0, 0.0),Vector3r(4.0, 4.0, 0.0)
1047	Vector3r(1.0, 3.0, 0.0),Vector3r(1.0, 4.0, 0.0)	Vector3r(1.0, 3.0, 0.0),Vector3r(1.0, 4.0, 0.0)
915	Vector3r(1.0, 5.0, 0.0),Vector3r(2.0, 4.0, 0.0)	Vector3r(1.0, 5.0, 0.0),Vector3r(2.0, 4.0, 0.0)
983	Vector3r(1.0, 6.0, 0.0),Vector3r(8.0, 3.0, 0.0)	Vector3r(1.0, 6.0, 0.0),Vector3r(8.0, 3.0, 0.0)
1225	Vector3r(5.0, 2.0, 0.0),Vector3r(0.0, 5.0, 0.0)	Vector3r(5.0, 2.0, 0.0),Vector3r(0.0, 5.0, 0.0)
1237	Vector3r(3.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 1.0, 0.0),Vector3r(3.0, 2.0, 0.0)
595	Vector3r(0.0, 6.0, 0.0),Vector3r(3.0, 3.0, 0.0)	Vector3r(0.0, 6.0, 0.0),Vector3r(3.0, 3.0, 0.0)
1099	Vector3r(1.0, 3.0, 0.0),Vector3r(9.0, 5.0, 0.0)	Vector3r(1.0, 3.0, 0.0),Vector3r(9.0, 5.0, 0.0)
594	Vector3r(6.0, 3.0, 0.0),Vector3r(8.0, 9.0, 0.0)	Vector3r(6.0, 3.0, 0.0),Vector3r(8.0, 9.0, 0.0)
604	Vector3r(7.0, 6.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 5.0, 0.0),Vector3r(7.0, 6.0, 0.0)
786	Vector3r(0.0, 2.0, 0.0),Vector3r(5.0, 8.0, 0.0)	Vector3r(0.0, 2.0, 0.0),Vector3r(5.0, 8.0, 0.0)
519	Vector3r(6.0, 4.0, 0.0),Vector3r(7.0, 3.0, 0.0)	Vector3r(7.0, 3.0, 0.0),Vector3r(6.0, 4.0, 0.0)
417	Vector3r(0.0, 5.0, 0.0),Vector3r(7.0, 6.0, 0.0)	Vector3r(7.0, 6.0, 0.0),Vector3r(0.0, 5.0, 0.0)
1060	Vector3r(7.0, 7.0, 0.0),Vector3r(5.0, 6.0, 0.0)	Vector3r(7.0, 7.0, 0.0),Vector3r(5.0, 6.0, 0.0)
1672	Vector3r(2.0, 7.0, 0.0),Vector3r(7.0, 6.0, 0.0)	Vector3r(2.0, 7.0, 0.0),Vector3r(7.0, 6.0, 0.0)
395	Vector3r(4.0, 8.0, 0.0),Vector3r(5.0, 1.0, 0.0)	Vector3r(4.0, 8.0, 0.0),Vector3r(5.0, 1.0, 0.0)
994	Vector3r(0.0, 8.0, 0.0),Vector3r(6.0, 4.0, 0.0)	Vector3r(0.0, 8.0, 0.0),Vector3r(6.0, 4.0, 0.0)
1263	Vector3r(3.0, 4.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 4.0, 0.0),Vector3r(2.0, 8.0, 0.0)
510	Vector3r(1.0, 9.0, 0.0),Vector3r(3.0, 1.0, 0.0)	Vector3r(1.0, 9.0, 0.0),Vector3r(3.0, 1.0, 0.0)
701	Vector3r(1.0, 1.0, 0.0),Vector3r(7.0, 6.0, 0.0)	Vector3r(1.0, 1.0, 0.0),Vector3r(7.0, 6.0, 0.0)
886	Vector3r(1.0, 3.0, 0.0),Vector3r(2.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0),Vector3r(2.0, 3.0, 0.0)
309	Vector3r(1.0, 9.0, 0.0),Vector3r(4.0, 9.0, 0.0)	Vector3r(1.0, 9.0, 0.0),Vector3r(4.0, 9.0, 0.0)
1183	Vector3r(5.0, 5.0, 0.0),Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0),Vector3r(5.0, 5.0, 0.0)
402	Vector3r(4.0, 0.0, 0.0),Vector3r(7.0, 6.0, 0.0)	Vector3r(4.0, 0.0, 0.0),Vector3r(7.0, 6.0, 0.0)
1229	Vector3r(8.0, 9.0, 0.0),Vector3r(2.0, 9.0, 0.0)	Vector3r(2.0, 9.0, 0.0),Vector3r(8.0, 9.0, 0.0)
1341	Vector3r(5.0, 3.0, 0.0),Vector3r(7.0, 7.0, 0.0)	Vector3r(7.0, 7.0, 0.0),Vector3r(5.0, 3.0, 0.0)
846	Vector3r(9.0, 4.0, 0.0),Vector3r(5.0, 9.0, 0.0)	Vector3r(5.0, 9.0, 0.0),Vector3r(9.0, 4.0, 0.0)
647	Vector3r(2.0, 0.0, 0.0),Vector3r(3.0, 6.0, 0.0)	Vector3r(3.0, 6.0, 0.0),Vector3r(2.0, 0.0, 0.0)
495	Vector3r(2.0, 5.0, 0.0),Vector3r(2.0, 4.0, 0.0)	Vector3r(2.0, 5.0, 0.0),Vector3r(2.0, 4.0, 0.0)
686	Vector3r(6.0, 1.0, 0.0),Vector3r(3.0, 7.0, 0.0)	Vector3r(6.0, 1.0, 0.0),Vector3r(3.0, 7.0, 0.0)
519	Vector3r(8.0, 6.0, 0.0),Vector3r(7.0, 5.0, 0.0)	Vector3r(7.0, 5.0, 0.0),Vector3r(1.0, 3.0, 0.0)
549	Vector3r(7.0, 2.0, 0.0),Vector3r(3.0, 4.0, 0.0)	Vector3r(7.0, 2.0, 0.0),Vector3r(3.0, 4.0, 0.0)
872	Vector3r(1.0, 2.0, 0.0),Vector3r(3.0, 6.0, 0.0)	Vector3r(1.0, 2.0, 0.0),Vector3r(3.0, 6.0, 0.0)
715	Vector3r(7.0, 5.0, 0.0),Vector3r(6.0, 5.0, 0.0)	Vector3r(7.0, 5.0, 0.0),Vector3r(6.0, 5.0, 0.0)
864	Vector3r(6.0, 3.0, 0.0),Vector3r(2.0, 2.0, 0.0)	Vector3r(6.0, 3.0, 0.0),Vector3r(2.0, 2.0, 0.0)
985	Vector3r(8.0, 7.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 0.0, 0.0),Vector3r(8.0, 7.0, 0.0)
1371	Vector3r(8.0, 7.0, 0.0),Vector3r(3.0, 5.0, 0.0)	Vector3r(8.0, 7.0, 0.0),Vector3r(3.0, 5.0, 0.0)
509	Vector3r(3.0, 3.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 6.0, 0.0),Vector3r(3.0, 3.0, 0.0)
790	Vector3r(6.0, 9.0, 0.0),Vector3r(3.0, 4.0, 0.0)	Vector3r(3.0, 4.0, 0.0),Vector3r(6.0, 9.0, 0.0)
409	Vector3r(9.0, 1.0, 0.0),Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0),Vector3r(9.0, 1.0, 0.0)
1025	Vector3r(8.0, 2.0, 0.0),Vector3r(8.0, 0.0, 0.0)	Vector3r(8.0, 0.0, 0.0),Vector3r(8.0, 2.0, 0.0)
499	Vector3r(6.0, 2.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 1.0, 0.0),Vector3r(6.0, 2.0, 0.0)
343	Vector3r(9.0, 4.0, 0.0),Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0),Vector3r(1.0, 4.0, 0.0)
524	Vector3r(8.0, 9.0, 0.0),Vector3r(1.0, 5.0, 0.0)	Vector3r(8.0, 9.0, 0.0),Vector3r(1.0, 5.0, 0.0)
586	Vector3r(8.0, 4.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 4.0, 0.0),Vector3r(3.0, 9.0, 0.0)
665	Vector3r(8.0, 0.0, 0.0),Vector3r(1.0, 3.0, 0.0)	Vector3r(8.0, 0.0, 0.0),Vector3r(1.0, 3.0, 0.0)
929	Vector3r(9.0, 4.0, 0.0),Vector3r(2.0, 3.0, 0.0)	Vector3r(2.0, 3.0, 0.0),Vector3r(9.0, 4.0, 0.0)
643	Vector3r(1.0, 7.0, 0.0),Vector3r(8.0, 7.0, 0.0)	Vector3r(1.0, 7.0, 0.0),Vector3r(8.0, 7.0, 0.0)
875	Vector3r(4.0, 0.0, 0.0),Vector3r(1.0, 5.0, 0.0)	Vector3r(4.0, 0.0, 0.0),Vector3r(1.0, 5.0, 0.0)
733	Vector3r(5.0, 9.0, 0.0),Vector3r(5.0, 8.0, 0.0)	Vector3r(5.0, 8.0, 0.0),Vector3r(5.0, 9.0, 0.0)
1766	Vector3r(8.0, 6.0, 0.0),Vector3r(4.0, 8.0, 0.0)	Vector3r(4.0, 8.0, 0.0),Vector3r(8.0, 6.0, 0.0)
