TTD	ConcludedLocation	ActualLocation
593	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
166	Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
745	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
557	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
747	Vector3r(9.0, 7.0, 0.0)	Vector3r(9.0, 7.0, 0.0)
452	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
568	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
753	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
601	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
433	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
560	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
380	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
562	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
566	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
167	Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
418	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
879	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
486	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
211	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
409	Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
366	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
508	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
547	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
487	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
563	Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
590	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
305	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
305	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
737	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
533	Vector3r(0.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
538	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
171	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
769	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
478	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
525	Vector3r(2.0, 3.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
674	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
571	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
530	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
568	Vector3r(2.0, 1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
260	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
332	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
599	Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 2.0, 0.0)
403	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
324	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
598	Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 3.0, 0.0)
717	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
291	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 5.0, 0.0)
292	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 2.0, 0.0)
173	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
463	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
788	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
512	Vector3r(8.0, 8.0, 0.0)	Vector3r(8.0, 8.0, 0.0)
441	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
332	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 7.0, 0.0)
432	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 4.0, 0.0)
559	Vector3r(4.0, 7.0, 0.0)	Vector3r(4.0, 7.0, 0.0)
434	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
453	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
334	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 4.0, 0.0)
778	Vector3r(0.0, 6.0, 0.0)	Vector3r(0.0, 6.0, 0.0)
599	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
328	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 4.0, 0.0)
263	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
353	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
555	Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
584	Vector3r(3.0, 4.0, 0.0)	Vector3r(3.0, 4.0, 0.0)
150	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 7.0, 0.0)
263	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
579	Vector3r(7.0, 5.0, 0.0)	Vector3r(7.0, 5.0, 0.0)
707	Vector3r(6.0, 3.0, 0.0)	Vector3r(6.0, 3.0, 0.0)
382	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
471	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
557	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
496	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
590	Vector3r(7.0, 6.0, 0.0)	Vector3r(7.0, 6.0, 0.0)
895	Vector3r(8.0, 2.0, 0.0)	Vector3r(8.0, 2.0, 0.0)
534	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
573	Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
575	Vector3r(1.0, 9.0, 0.0)	Vector3r(1.0, 9.0, 0.0)
780	Vector3r(4.0, 8.0, 0.0)	Vector3r(4.0, 8.0, 0.0)
778	Vector3r(8.0, 5.0, 0.0)	Vector3r(8.0, 5.0, 0.0)
557	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
547	Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
797	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 8.0, 0.0)
308	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
302	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
423	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
598	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
556	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
682	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
914	Vector3r(7.0, 5.0, 0.0)	Vector3r(7.0, 5.0, 0.0)
473	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
597	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
746	Vector3r(5.0, 4.0, 0.0)	Vector3r(5.0, 4.0, 0.0)
557	Vector3r(2.0, 9.0, 0.0)	Vector3r(2.0, 9.0, 0.0)
453	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
589	Vector3r(1.0, 4.0, 0.0)	Vector3r(1.0, 4.0, 0.0)
369	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
157	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
736	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
586	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
135	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 3.0, 0.0)
690	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 9.0, 0.0)
253	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 0.0, 0.0)
552	Vector3r(2.0, 0.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
529	Vector3r(0.0, 5.0, 0.0)	Vector3r(0.0, 5.0, 0.0)
729	Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 5.0, 0.0)
289	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
468	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
491	Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 7.0, 0.0)
750	Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
268	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
495	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
941	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
328	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
596	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
332	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
454	Vector3r(3.0, 4.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
591	Vector3r(8.0, 5.0, 0.0)	Vector3r(8.0, 5.0, 0.0)
445	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
701	Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 2.0, 0.0)
785	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
580	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
487	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 9.0, 0.0)
234	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
519	Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 2.0, 0.0)
224	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
531	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 0.0, 0.0)
428	Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
623	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
516	Vector3r(2.0, 7.0, 0.0)	Vector3r(2.0, 7.0, 0.0)
780	Vector3r(5.0, 9.0, 0.0)	Vector3r(5.0, 9.0, 0.0)
514	Vector3r(2.0, 0.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
