TTD	ConcludedLocation	ActualLocation
2597	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
1685	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
2139	Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 2.0, 0.0)
2179	Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 2.0, 0.0)
2003	Vector3r(3.0, 4.0, 0.0)	Vector3r(3.0, 4.0, 0.0)
1566	Vector3r(6.0, 0.0, 0.0)	Vector3r(6.0, 0.0, 0.0)
2140	Vector3r(5.0, 0.0, 0.0)	Vector3r(5.0, 0.0, 0.0)
1364	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
2606	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
3921	Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
4205	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
1074	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 6.0, 0.0)
1769	Vector3r(1.0, 4.0, 0.0)	Vector3r(1.0, 4.0, 0.0)
1427	Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 8.0, 0.0)
2003	Vector3r(0.0, 8.0, 0.0)	Vector3r(0.0, 8.0, 0.0)
1329	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
1066	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
2285	Vector3r(3.0, 2.0, 0.0)	Vector3r(3.0, 2.0, 0.0)
1605	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
2310	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
2563	Vector3r(8.0, 0.0, 0.0)	Vector3r(8.0, 0.0, 0.0)
3446	Vector3r(2.0, 1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
1732	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
1362	Vector3r(2.0, 9.0, 0.0)	Vector3r(2.0, 9.0, 0.0)
1158	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 8.0, 0.0)
2237	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
1698	Vector3r(5.0, 8.0, 0.0)	Vector3r(5.0, 8.0, 0.0)
2167	Vector3r(5.0, 6.0, 0.0)	Vector3r(5.0, 6.0, 0.0)
2010	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
1390	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
3054	Vector3r(4.0, 5.0, 0.0)	Vector3r(4.0, 5.0, 0.0)
1368	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 2.0, 0.0)
2793	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
1401	Vector3r(6.0, 9.0, 0.0)	Vector3r(6.0, 9.0, 0.0)
3335	Vector3r(8.0, 5.0, 0.0)	Vector3r(8.0, 5.0, 0.0)
1325	Vector3r(0.0, 6.0, 0.0)	Vector3r(0.0, 6.0, 0.0)
2140	Vector3r(2.0, 8.0, 0.0)	Vector3r(2.0, 8.0, 0.0)
1836	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
1413	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
2128	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
2082	Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
1262	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 7.0, 0.0)
2729	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
2537	Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
1657	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 7.0, 0.0)
2490	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
1950	Vector3r(5.0, 5.0, 0.0)	Vector3r(5.0, 5.0, 0.0)
2624	Vector3r(6.0, 3.0, 0.0)	Vector3r(6.0, 3.0, 0.0)
3283	Vector3r(3.0, 5.0, 0.0)	Vector3r(3.0, 5.0, 0.0)
1266	Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 7.0, 0.0)
2514	Vector3r(0.0, 3.0, 0.0)	Vector3r(0.0, 3.0, 0.0)
2082	Vector3r(5.0, 0.0, 0.0)	Vector3r(5.0, 0.0, 0.0)
1770	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
2700	Vector3r(8.0, 7.0, 0.0)	Vector3r(8.0, 7.0, 0.0)
1239	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
2155	Vector3r(3.0, 7.0, 0.0)	Vector3r(3.0, 7.0, 0.0)
2307	Vector3r(5.0, 5.0, 0.0)	Vector3r(5.0, 5.0, 0.0)
1791	Vector3r(6.0, 5.0, 0.0)	Vector3r(6.0, 5.0, 0.0)
1721	Vector3r(0.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
1736	Vector3r(4.0, 3.0, 0.0)	Vector3r(4.0, 3.0, 0.0)
2321	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
1544	Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
2225	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
2519	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
1814	Vector3r(7.0, 1.0, 0.0)	Vector3r(7.0, 1.0, 0.0)
3300	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
1183	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 9.0, 0.0)
1768	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
2740	Vector3r(1.0, 6.0, 0.0)	Vector3r(1.0, 6.0, 0.0)
1064	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
2143	Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
1465	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
1910	Vector3r(2.0, 4.0, 0.0)	Vector3r(2.0, 4.0, 0.0)
2086	Vector3r(2.0, 8.0, 0.0)	Vector3r(2.0, 8.0, 0.0)
1697	Vector3r(2.0, 9.0, 0.0)	Vector3r(2.0, 9.0, 0.0)
1902	Vector3r(7.0, 7.0, 0.0)	Vector3r(7.0, 7.0, 0.0)
1750	Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0)
1657	Vector3r(4.0, 5.0, 0.0)	Vector3r(4.0, 5.0, 0.0)
2623	Vector3r(0.0, 5.0, 0.0)	Vector3r(0.0, 5.0, 0.0)
1508	Vector3r(8.0, 6.0, 0.0)	Vector3r(8.0, 6.0, 0.0)
1822	Vector3r(1.0, 4.0, 0.0)	Vector3r(1.0, 4.0, 0.0)
1027	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
1595	Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
2287	Vector3r(2.0, 1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
2106	Vector3r(6.0, 5.0, 0.0)	Vector3r(6.0, 5.0, 0.0)
1252	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 6.0, 0.0)
1498	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 3.0, 0.0)
1497	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
3529	Vector3r(2.0, 1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
