TTD	ConcludedLocation	ActualLocation
886	Vector3r(9.0, 1.0, 0.0),Vector3r(7.0, 2.0, 0.0),Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0),Vector3r(7.0, 2.0, 0.0),Vector3r(9.0, 1.0, 0.0)
816	Vector3r(1.0, 5.0, 0.0),Vector3r(2.0, 8.0, 0.0),Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0),Vector3r(2.0, 8.0, 0.0),Vector3r(1.0, 5.0, 0.0)
554	Vector3r(9.0, 4.0, 0.0),Vector3r(9.0, 7.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 5.0, 0.0),Vector3r(9.0, 4.0, 0.0),Vector3r(9.0, 7.0, 0.0)
834	Vector3r(8.0, 1.0, 0.0),Vector3r(1.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 3.0, 0.0),Vector3r(8.0, 1.0, 0.0),Vector3r(1.0, 1.0, 0.0)
711	Vector3r(2.0, 2.0, 0.0),Vector3r(8.0, 1.0, 0.0),Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0),Vector3r(8.0, 1.0, 0.0),Vector3r(2.0, 2.0, 0.0)
884	Vector3r(5.0, 1.0, 0.0),Vector3r(1.0, 0.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 8.0, 0.0),Vector3r(5.0, 1.0, 0.0),Vector3r(1.0, 0.0, 0.0)
897	Vector3r(6.0, 7.0, 0.0),Vector3r(4.0, 6.0, 0.0),Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0),Vector3r(6.0, 7.0, 0.0),Vector3r(4.0, 6.0, 0.0)
763	Vector3r(0.0, 9.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 9.0, 0.0),Vector3r(4.0, 3.0, 0.0),Vector3r(3.0, 1.0, 0.0)
535	Vector3r(4.0, 2.0, 0.0),Vector3r(9.0, 7.0, 0.0),Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0),Vector3r(4.0, 0.0, 0.0),Vector3r(9.0, 7.0, 0.0)
1178	Vector3r(0.0, 7.0, 0.0),Vector3r(5.0, 2.0, 0.0),Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 4.0, 0.0),Vector3r(5.0, 2.0, 0.0),Vector3r(0.0, 7.0, 0.0)
551	Vector3r(9.0, 7.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 9.0, 0.0),Vector3r(6.0, 1.0, 0.0),Vector3r(9.0, 7.0, 0.0)
854	Vector3r(0.0, 7.0, 0.0),Vector3r(6.0, 0.0, 0.0),Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0),Vector3r(0.0, 7.0, 0.0),Vector3r(6.0, 0.0, 0.0)
849	Vector3r(0.0, 4.0, 0.0),Vector3r(3.0, 8.0, 0.0),Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0),Vector3r(3.0, 8.0, 0.0),Vector3r(0.0, 4.0, 0.0)
1332	Vector3r(0.0, 4.0, 0.0),Vector3r(4.0, 2.0, 0.0),Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0),Vector3r(4.0, 2.0, 0.0),Vector3r(0.0, 4.0, 0.0)
752	Vector3r(5.0, 2.0, 0.0),Vector3r(7.0, 7.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 2.0, 0.0),Vector3r(5.0, 2.0, 0.0),Vector3r(7.0, 7.0, 0.0)
920	Vector3r(0.0, 0.0, 0.0),Vector3r(1.0, 2.0, 0.0),Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0),Vector3r(0.0, 0.0, 0.0),Vector3r(1.0, 2.0, 0.0)
866	Vector3r(6.0, 8.0, 0.0),Vector3r(1.0, 3.0, 0.0),Vector3r(1.0, 2.0, 0.0)	Vector3r(6.0, 8.0, 0.0),Vector3r(1.0, 3.0, 0.0),Vector3r(1.0, 2.0, 0.0)
876	Vector3r(9.0, 6.0, 0.0),Vector3r(3.0, 8.0, 0.0),Vector3r(2.0, 3.0, 0.0)	Vector3r(9.0, 6.0, 0.0),Vector3r(2.0, 3.0, 0.0),Vector3r(3.0, 8.0, 0.0)
656	Vector3r(1.0, 8.0, 0.0),Vector3r(7.0, 0.0, 0.0),Vector3r(3.0, 9.0, 0.0)	Vector3r(7.0, 0.0, 0.0),Vector3r(1.0, 8.0, 0.0),Vector3r(3.0, 9.0, 0.0)
701	Vector3r(6.0, 3.0, 0.0),Vector3r(0.0, 0.0, 0.0),Vector3r(9.0, 4.0, 0.0)	Vector3r(2.0, 1.0, 0.0),Vector3r(6.0, 3.0, 0.0),Vector3r(0.0, 0.0, 0.0)
686	Vector3r(3.0, 2.0, 0.0),Vector3r(8.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 0.0, 0.0),Vector3r(3.0, 2.0, 0.0),Vector3r(8.0, 1.0, 0.0)
464	Vector3r(2.0, 2.0, 0.0),Vector3r(1.0, 4.0, 0.0),Vector3r(2.0, 5.0, 0.0)	Vector3r(1.0, 4.0, 0.0),Vector3r(9.0, 3.0, 0.0),Vector3r(2.0, 2.0, 0.0)
818	Vector3r(2.0, 7.0, 0.0),Vector3r(9.0, 5.0, 0.0),Vector3r(3.0, 3.0, 0.0)	Vector3r(3.0, 3.0, 0.0),Vector3r(2.0, 7.0, 0.0),Vector3r(9.0, 5.0, 0.0)
699	Vector3r(6.0, 2.0, 0.0),Vector3r(7.0, 1.0, 0.0),Vector3r(2.0, 5.0, 0.0)	Vector3r(2.0, 5.0, 0.0),Vector3r(7.0, 1.0, 0.0),Vector3r(6.0, 2.0, 0.0)
924	Vector3r(6.0, 0.0, 0.0),Vector3r(0.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 1.0, 0.0),Vector3r(1.0, 1.0, 0.0),Vector3r(6.0, 0.0, 0.0)
614	Vector3r(4.0, 3.0, 0.0),Vector3r(8.0, 8.0, 0.0),Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0),Vector3r(4.0, 3.0, 0.0),Vector3r(8.0, 8.0, 0.0)
1213	Vector3r(9.0, 0.0, 0.0),Vector3r(8.0, 7.0, 0.0),Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0),Vector3r(8.0, 7.0, 0.0),Vector3r(9.0, 0.0, 0.0)
