TTD	ConcludedLocation	ActualLocation
810	Vector3r(6.0, 8.0, 0.0),Vector3r(7.0, 2.0, 0.0),Vector3r(9.0, 1.0, 0.0)	Vector3r(6.0, 8.0, 0.0),Vector3r(7.0, 2.0, 0.0),Vector3r(9.0, 1.0, 0.0)
492	Vector3r(2.0, 8.0, 0.0),Vector3r(1.0, 5.0, 0.0),Vector3r(8.0, 9.0, 0.0)	Vector3r(1.0, 5.0, 0.0),Vector3r(8.0, 9.0, 0.0),Vector3r(2.0, 8.0, 0.0)
899	Vector3r(4.0, 5.0, 0.0),Vector3r(9.0, 4.0, 0.0),Vector3r(9.0, 7.0, 0.0)	Vector3r(4.0, 5.0, 0.0),Vector3r(9.0, 4.0, 0.0),Vector3r(9.0, 7.0, 0.0)
647	Vector3r(6.0, 3.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 3.0, 0.0),Vector3r(8.0, 1.0, 0.0),Vector3r(1.0, 1.0, 0.0)
953	Vector3r(8.0, 1.0, 0.0),Vector3r(9.0, 5.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 5.0, 0.0),Vector3r(8.0, 1.0, 0.0),Vector3r(2.0, 2.0, 0.0)
788	Vector3r(5.0, 1.0, 0.0),Vector3r(6.0, 8.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 8.0, 0.0),Vector3r(1.0, 0.0, 0.0),Vector3r(5.0, 1.0, 0.0)
808	Vector3r(6.0, 1.0, 0.0),Vector3r(4.0, 6.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 6.0, 0.0),Vector3r(6.0, 7.0, 0.0),Vector3r(6.0, 1.0, 0.0)
903	Vector3r(4.0, 3.0, 0.0),Vector3r(3.0, 1.0, 0.0),Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0),Vector3r(3.0, 1.0, 0.0),Vector3r(4.0, 3.0, 0.0)
707	Vector3r(2.0, 6.0, 0.0),Vector3r(4.0, 0.0, 0.0),Vector3r(9.0, 7.0, 0.0)	Vector3r(4.0, 0.0, 0.0),Vector3r(9.0, 7.0, 0.0),Vector3r(2.0, 6.0, 0.0)
677	Vector3r(5.0, 2.0, 0.0),Vector3r(7.0, 4.0, 0.0),Vector3r(0.0, 7.0, 0.0)	Vector3r(5.0, 2.0, 0.0),Vector3r(7.0, 4.0, 0.0),Vector3r(0.0, 7.0, 0.0)
1102	Vector3r(8.0, 4.0, 0.0),Vector3r(4.0, 9.0, 0.0),Vector3r(6.0, 1.0, 0.0)	Vector3r(4.0, 9.0, 0.0),Vector3r(9.0, 7.0, 0.0),Vector3r(6.0, 1.0, 0.0)
653	Vector3r(6.0, 0.0, 0.0),Vector3r(0.0, 7.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 0.0, 0.0),Vector3r(0.0, 7.0, 0.0),Vector3r(4.0, 4.0, 0.0)
673	Vector3r(0.0, 4.0, 0.0),Vector3r(3.0, 8.0, 0.0),Vector3r(7.0, 9.0, 0.0)	Vector3r(3.0, 8.0, 0.0),Vector3r(0.0, 4.0, 0.0),Vector3r(7.0, 9.0, 0.0)
1132	Vector3r(4.0, 2.0, 0.0),Vector3r(0.0, 4.0, 0.0),Vector3r(7.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0),Vector3r(7.0, 2.0, 0.0),Vector3r(0.0, 4.0, 0.0)
652	Vector3r(0.0, 2.0, 0.0),Vector3r(5.0, 2.0, 0.0),Vector3r(7.0, 7.0, 0.0)	Vector3r(0.0, 2.0, 0.0),Vector3r(5.0, 2.0, 0.0),Vector3r(7.0, 7.0, 0.0)
502	Vector3r(8.0, 9.0, 0.0),Vector3r(1.0, 2.0, 0.0),Vector3r(0.0, 0.0, 0.0)	Vector3r(8.0, 9.0, 0.0),Vector3r(0.0, 0.0, 0.0),Vector3r(1.0, 2.0, 0.0)
886	Vector3r(1.0, 2.0, 0.0),Vector3r(1.0, 3.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 8.0, 0.0),Vector3r(1.0, 3.0, 0.0),Vector3r(1.0, 2.0, 0.0)
1080	Vector3r(3.0, 8.0, 0.0),Vector3r(2.0, 3.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 6.0, 0.0),Vector3r(2.0, 3.0, 0.0),Vector3r(3.0, 8.0, 0.0)
545	Vector3r(0.0, 3.0, 0.0),Vector3r(7.0, 0.0, 0.0),Vector3r(1.0, 8.0, 0.0)	Vector3r(7.0, 0.0, 0.0),Vector3r(1.0, 8.0, 0.0),Vector3r(3.0, 9.0, 0.0)
893	Vector3r(6.0, 3.0, 0.0),Vector3r(2.0, 1.0, 0.0),Vector3r(0.0, 0.0, 0.0)	Vector3r(6.0, 3.0, 0.0),Vector3r(2.0, 1.0, 0.0),Vector3r(0.0, 0.0, 0.0)
453	Vector3r(7.0, 0.0, 0.0),Vector3r(8.0, 1.0, 0.0),Vector3r(3.0, 2.0, 0.0)	Vector3r(7.0, 0.0, 0.0),Vector3r(8.0, 1.0, 0.0),Vector3r(3.0, 2.0, 0.0)
802	Vector3r(9.0, 3.0, 0.0),Vector3r(1.0, 4.0, 0.0),Vector3r(2.0, 2.0, 0.0)	Vector3r(9.0, 3.0, 0.0),Vector3r(1.0, 4.0, 0.0),Vector3r(2.0, 2.0, 0.0)
642	Vector3r(3.0, 3.0, 0.0),Vector3r(9.0, 5.0, 0.0),Vector3r(2.0, 7.0, 0.0)	Vector3r(2.0, 7.0, 0.0),Vector3r(3.0, 3.0, 0.0),Vector3r(9.0, 5.0, 0.0)
699	Vector3r(2.0, 5.0, 0.0),Vector3r(6.0, 2.0, 0.0),Vector3r(7.0, 1.0, 0.0)	Vector3r(6.0, 2.0, 0.0),Vector3r(2.0, 5.0, 0.0),Vector3r(7.0, 1.0, 0.0)
