TTD	ConcludedLocation	ActualLocation
2210	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
2022	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
2271	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
1845	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
2255	Vector3r(9.0, 7.0, 0.0)	Vector3r(9.0, 7.0, 0.0)
2209	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
1056	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
3313	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
2856	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
1171	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
2088	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
2692	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
1905	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
2253	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
1847	Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
2515	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
2239	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
2457	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
1647	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
2217	Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
2128	Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
2322	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
2055	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
2325	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
1151	Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
3665	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
1859	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
