TTD	ConcludedLocation	ActualLocation
2210	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
1822	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
2471	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
2845	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
2455	Vector3r(9.0, 7.0, 0.0)	Vector3r(9.0, 7.0, 0.0)
992	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
2233	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
1808	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
2346	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
1824	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
1690	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
1692	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
2105	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
2253	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
1847	Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
2315	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
2039	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
2857	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
1847	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
1817	Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
2728	Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
2922	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
1655	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
2525	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
2426	Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
2215	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
1634	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
1823	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
2002	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
3469	Vector3r(0.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
1864	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
1883	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
2658	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
2847	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
2077	Vector3r(2.0, 3.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
1928	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
1803	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
2300	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
1834	Vector3r(2.0, 1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
1761	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
3047	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
2207	Vector3r(3.0, 2.0, 0.0)	Vector3r(3.0, 2.0, 0.0)
2402	Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
2160	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
1848	Vector3r(3.0, 3.0, 0.0)	Vector3r(3.0, 3.0, 0.0)
2956	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
1663	Vector3r(2.0, 5.0, 0.0)	Vector3r(2.0, 5.0, 0.0)
3113	Vector3r(6.0, 2.0, 0.0)	Vector3r(6.0, 2.0, 0.0)
1811	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
1802	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
2014	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
1890	Vector3r(8.0, 8.0, 0.0)	Vector3r(8.0, 8.0, 0.0)
1709	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
2292	Vector3r(8.0, 7.0, 0.0)	Vector3r(8.0, 7.0, 0.0)
2667	Vector3r(2.0, 4.0, 0.0)	Vector3r(2.0, 4.0, 0.0)
3331	Vector3r(4.0, 7.0, 0.0)	Vector3r(4.0, 7.0, 0.0)
1362	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
2158	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
2254	Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0)
2225	Vector3r(0.0, 6.0, 0.0)	Vector3r(0.0, 6.0, 0.0)
1057	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
