TTD	ConcludedLocation	ActualLocation
2410	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
2022	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
2671	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
2645	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
2055	Vector3r(9.0, 7.0, 0.0)	Vector3r(9.0, 7.0, 0.0)
1009	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
3016	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
2008	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
1746	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
2624	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
2090	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
2492	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
2305	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
2253	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
2447	Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
2315	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
2239	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
1086	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
1818	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
2217	Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
2128	Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
1922	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
2455	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
2525	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
2426	Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
995	Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
1654	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
2023	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
2002	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
1294	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
2639	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
1083	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
2458	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
2447	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
2077	Vector3r(2.0, 3.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
1928	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
2203	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
1700	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
1188	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
2007	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
2447	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
2207	Vector3r(3.0, 2.0, 0.0)	Vector3r(3.0, 2.0, 0.0)
2402	Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
1043	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
2284	Vector3r(3.0, 3.0, 0.0)	Vector3r(3.0, 3.0, 0.0)
2237	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
3063	Vector3r(2.0, 5.0, 0.0)	Vector3r(2.0, 5.0, 0.0)
2513	Vector3r(6.0, 2.0, 0.0)	Vector3r(6.0, 2.0, 0.0)
2611	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
2602	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
1814	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
2290	Vector3r(8.0, 8.0, 0.0)	Vector3r(8.0, 8.0, 0.0)
