TTD	ConcludedLocation	ActualLocation
2410	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
2022	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
1871	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
2245	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
1655	Vector3r(9.0, 7.0, 0.0)	Vector3r(9.0, 7.0, 0.0)
2009	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
3216	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
2608	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
2346	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
2024	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
2090	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
2092	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
2505	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
2853	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
1847	Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
1105	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
2249	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
2257	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
3047	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
2617	Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
2528	Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
3122	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
2455	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
2125	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
2426	Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
1615	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
2234	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
1623	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
2002	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
1669	Vector3r(0.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
2464	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
2083	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
2258	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
2247	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
2677	Vector3r(2.0, 3.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
2328	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
1015	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
2288	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
2634	Vector3r(2.0, 1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
2561	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
1447	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
3207	Vector3r(3.0, 2.0, 0.0)	Vector3r(3.0, 2.0, 0.0)
2002	Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
2360	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
2448	Vector3r(3.0, 3.0, 0.0)	Vector3r(3.0, 3.0, 0.0)
2156	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
2063	Vector3r(2.0, 5.0, 0.0)	Vector3r(2.0, 5.0, 0.0)
2313	Vector3r(6.0, 2.0, 0.0)	Vector3r(6.0, 2.0, 0.0)
2011	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
950	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
1666	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
2890	Vector3r(8.0, 8.0, 0.0)	Vector3r(8.0, 8.0, 0.0)
