TTD	ConcludedLocation	ActualLocation
410	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
594	Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
699	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
445	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
622	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 7.0, 0.0)
431	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
427	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
608	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
546	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
1033	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
881	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
961	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
605	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
821	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
710	Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
515	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
439	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
657	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
447	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
461	Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
684	Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
522	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
455	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
925	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
626	Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
615	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
1143	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
714	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
802	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
998	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
535	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
683	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
458	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
447	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
411	Vector3r(3.0, 9.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
419	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
578	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
867	Vector3r(7.0, 3.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
424	Vector3r(2.0, 1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
404	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
447	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
407	Vector3r(3.0, 2.0, 0.0)	Vector3r(3.0, 2.0, 0.0)
402	Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
960	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
648	Vector3r(3.0, 3.0, 0.0)	Vector3r(3.0, 3.0, 0.0)
556	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
463	Vector3r(2.0, 5.0, 0.0)	Vector3r(2.0, 5.0, 0.0)
437	Vector3r(2.0, 9.0, 0.0)	Vector3r(6.0, 2.0, 0.0)
687	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
602	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
414	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
490	Vector3r(8.0, 8.0, 0.0)	Vector3r(8.0, 8.0, 0.0)
509	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
692	Vector3r(8.0, 7.0, 0.0)	Vector3r(8.0, 7.0, 0.0)
467	Vector3r(2.0, 4.0, 0.0)	Vector3r(2.0, 4.0, 0.0)
305	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 7.0, 0.0)
639	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
507	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
654	Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0)
