TTD	ConcludedLocation	ActualLocation
610	Vector3r(9.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 1.0, 0.0),Vector3r(6.0, 8.0, 0.0)
821	Vector3r(8.0, 9.0, 0.0),Vector3r(8.0, 2.0, 0.0)	Vector3r(8.0, 2.0, 0.0),Vector3r(8.0, 9.0, 0.0)
553	Vector3r(1.0, 5.0, 0.0),Vector3r(0.0, 1.0, 0.0)	Vector3r(1.0, 5.0, 0.0),Vector3r(0.0, 1.0, 0.0)
480	Vector3r(9.0, 4.0, 0.0),Vector3r(4.0, 5.0, 0.0)	Vector3r(4.0, 5.0, 0.0),Vector3r(9.0, 4.0, 0.0)
698	Vector3r(1.0, 1.0, 0.0),Vector3r(6.0, 3.0, 0.0)	Vector3r(1.0, 1.0, 0.0),Vector3r(6.0, 3.0, 0.0)
893	Vector3r(8.0, 1.0, 0.0),Vector3r(6.0, 4.0, 0.0)	Vector3r(8.0, 1.0, 0.0),Vector3r(6.0, 4.0, 0.0)
548	Vector3r(2.0, 2.0, 0.0),Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0),Vector3r(2.0, 2.0, 0.0)
823	Vector3r(5.0, 1.0, 0.0),Vector3r(1.0, 0.0, 0.0)	Vector3r(5.0, 1.0, 0.0),Vector3r(1.0, 0.0, 0.0)
809	Vector3r(6.0, 7.0, 0.0),Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 7.0, 0.0),Vector3r(6.0, 1.0, 0.0)
764	Vector3r(3.0, 1.0, 0.0),Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0),Vector3r(3.0, 1.0, 0.0)
704	Vector3r(2.0, 5.0, 0.0),Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0),Vector3r(2.0, 5.0, 0.0)
507	Vector3r(9.0, 7.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 7.0, 0.0),Vector3r(4.0, 0.0, 0.0)
