TTD	ConcludedLocation	ActualLocation
486	Vector3r(9.0, 1.0, 0.0),Vector3r(6.0, 8.0, 0.0)	Vector3r(9.0, 1.0, 0.0),Vector3r(6.0, 8.0, 0.0)
488	Vector3r(8.0, 9.0, 0.0),Vector3r(8.0, 2.0, 0.0)	Vector3r(8.0, 9.0, 0.0),Vector3r(8.0, 2.0, 0.0)
686	Vector3r(0.0, 1.0, 0.0),Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0),Vector3r(0.0, 1.0, 0.0)
739	Vector3r(4.0, 5.0, 0.0),Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0),Vector3r(4.0, 5.0, 0.0)
650	Vector3r(1.0, 1.0, 0.0),Vector3r(6.0, 3.0, 0.0)	Vector3r(1.0, 1.0, 0.0),Vector3r(6.0, 3.0, 0.0)
530	Vector3r(6.0, 4.0, 0.0),Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0),Vector3r(6.0, 4.0, 0.0)
463	Vector3r(9.0, 5.0, 0.0),Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0),Vector3r(9.0, 5.0, 0.0)
1184	Vector3r(5.0, 1.0, 0.0),Vector3r(1.0, 0.0, 0.0)	Vector3r(5.0, 1.0, 0.0),Vector3r(1.0, 0.0, 0.0)
863	Vector3r(6.0, 1.0, 0.0),Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 1.0, 0.0),Vector3r(6.0, 7.0, 0.0)
821	Vector3r(3.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 0.0, 0.0),Vector3r(3.0, 1.0, 0.0)
593	Vector3r(2.0, 5.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 5.0, 0.0),Vector3r(0.0, 9.0, 0.0)
1054	Vector3r(4.0, 0.0, 0.0),Vector3r(0.0, 5.0, 0.0)	Vector3r(9.0, 7.0, 0.0),Vector3r(4.0, 0.0, 0.0)
730	Vector3r(5.0, 2.0, 0.0),Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0),Vector3r(5.0, 2.0, 0.0)
902	Vector3r(3.0, 4.0, 0.0),Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0),Vector3r(3.0, 4.0, 0.0)
522	Vector3r(5.0, 6.0, 0.0),Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0),Vector3r(5.0, 6.0, 0.0)
693	Vector3r(0.0, 7.0, 0.0),Vector3r(6.0, 0.0, 0.0)	Vector3r(0.0, 7.0, 0.0),Vector3r(6.0, 0.0, 0.0)
912	Vector3r(0.0, 4.0, 0.0),Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0),Vector3r(0.0, 4.0, 0.0)
848	Vector3r(7.0, 7.0, 0.0),Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0),Vector3r(7.0, 7.0, 0.0)
543	Vector3r(4.0, 2.0, 0.0),Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0),Vector3r(4.0, 2.0, 0.0)
1194	Vector3r(0.0, 2.0, 0.0),Vector3r(7.0, 7.0, 0.0)	Vector3r(0.0, 2.0, 0.0),Vector3r(7.0, 7.0, 0.0)
685	Vector3r(8.0, 9.0, 0.0),Vector3r(1.0, 2.0, 0.0)	Vector3r(8.0, 9.0, 0.0),Vector3r(1.0, 2.0, 0.0)
498	Vector3r(6.0, 5.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 3.0, 0.0),Vector3r(6.0, 5.0, 0.0)
624	Vector3r(6.0, 9.0, 0.0),Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0),Vector3r(6.0, 9.0, 0.0)
685	Vector3r(3.0, 8.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 6.0, 0.0),Vector3r(3.0, 8.0, 0.0)
722	Vector3r(3.0, 9.0, 0.0),Vector3r(1.0, 8.0, 0.0)	Vector3r(3.0, 9.0, 0.0),Vector3r(1.0, 8.0, 0.0)
