TTD	ConcludedLocation	ActualLocation
486	Vector3r(9.0, 1.0, 0.0),Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0),Vector3r(9.0, 1.0, 0.0)
688	Vector3r(8.0, 9.0, 0.0),Vector3r(8.0, 2.0, 0.0)	Vector3r(8.0, 2.0, 0.0),Vector3r(8.0, 9.0, 0.0)
1049	Vector3r(1.0, 5.0, 0.0),Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0),Vector3r(1.0, 5.0, 0.0)
641	Vector3r(9.0, 4.0, 0.0),Vector3r(4.0, 5.0, 0.0)	Vector3r(9.0, 4.0, 0.0),Vector3r(4.0, 5.0, 0.0)
921	Vector3r(6.0, 3.0, 0.0),Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0),Vector3r(6.0, 3.0, 0.0)
470	Vector3r(8.0, 1.0, 0.0),Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0),Vector3r(8.0, 1.0, 0.0)
734	Vector3r(2.0, 2.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 2.0, 0.0),Vector3r(9.0, 5.0, 0.0)
444	Vector3r(1.0, 0.0, 0.0),Vector3r(5.0, 1.0, 0.0)	Vector3r(1.0, 0.0, 0.0),Vector3r(5.0, 1.0, 0.0)
802	Vector3r(6.0, 7.0, 0.0),Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0),Vector3r(6.0, 7.0, 0.0)
764	Vector3r(3.0, 1.0, 0.0),Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0),Vector3r(3.0, 1.0, 0.0)
504	Vector3r(2.0, 5.0, 0.0),Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0),Vector3r(2.0, 5.0, 0.0)
507	Vector3r(9.0, 7.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 7.0, 0.0),Vector3r(4.0, 0.0, 0.0)
477	Vector3r(5.0, 2.0, 0.0),Vector3r(0.0, 7.0, 0.0)	Vector3r(5.0, 2.0, 0.0),Vector3r(0.0, 7.0, 0.0)
753	Vector3r(3.0, 4.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 1.0, 0.0),Vector3r(3.0, 4.0, 0.0)
643	Vector3r(4.0, 9.0, 0.0),Vector3r(5.0, 6.0, 0.0)	Vector3r(5.0, 6.0, 0.0),Vector3r(4.0, 9.0, 0.0)
699	Vector3r(6.0, 0.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 0.0, 0.0),Vector3r(0.0, 7.0, 0.0)
934	Vector3r(0.0, 4.0, 0.0),Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0),Vector3r(0.0, 4.0, 0.0)
648	Vector3r(7.0, 7.0, 0.0),Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0),Vector3r(7.0, 7.0, 0.0)
423	Vector3r(1.0, 8.0, 0.0),Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0),Vector3r(3.0, 8.0, 0.0)
670	Vector3r(7.0, 7.0, 0.0),Vector3r(0.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0),Vector3r(7.0, 7.0, 0.0)
1200	Vector3r(8.0, 9.0, 0.0),Vector3r(1.0, 2.0, 0.0)	Vector3r(1.0, 2.0, 0.0),Vector3r(8.0, 9.0, 0.0)
427	Vector3r(1.0, 3.0, 0.0),Vector3r(6.0, 5.0, 0.0)	Vector3r(6.0, 5.0, 0.0),Vector3r(1.0, 3.0, 0.0)
750	Vector3r(6.0, 9.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 8.0, 0.0),Vector3r(6.0, 9.0, 0.0)
587	Vector3r(3.0, 8.0, 0.0),Vector3r(9.0, 6.0, 0.0)	Vector3r(3.0, 8.0, 0.0),Vector3r(9.0, 6.0, 0.0)
699	Vector3r(1.0, 8.0, 0.0),Vector3r(3.0, 9.0, 0.0)	Vector3r(3.0, 9.0, 0.0),Vector3r(1.0, 8.0, 0.0)
485	Vector3r(0.0, 2.0, 0.0),Vector3r(2.0, 1.0, 0.0)	Vector3r(0.0, 2.0, 0.0),Vector3r(2.0, 1.0, 0.0)
909	Vector3r(0.0, 0.0, 0.0),Vector3r(4.0, 8.0, 0.0)	Vector3r(0.0, 0.0, 0.0),Vector3r(4.0, 8.0, 0.0)
881	Vector3r(7.0, 0.0, 0.0),Vector3r(3.0, 2.0, 0.0)	Vector3r(7.0, 0.0, 0.0),Vector3r(3.0, 2.0, 0.0)
869	Vector3r(1.0, 4.0, 0.0),Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0),Vector3r(1.0, 4.0, 0.0)
662	Vector3r(3.0, 3.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 6.0, 0.0),Vector3r(3.0, 3.0, 0.0)
701	Vector3r(8.0, 9.0, 0.0),Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0),Vector3r(8.0, 9.0, 0.0)
1175	Vector3r(7.0, 1.0, 0.0),Vector3r(6.0, 2.0, 0.0)	Vector3r(7.0, 1.0, 0.0),Vector3r(6.0, 2.0, 0.0)
811	Vector3r(6.0, 0.0, 0.0),Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0),Vector3r(6.0, 0.0, 0.0)
615	Vector3r(1.0, 3.0, 0.0),Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0),Vector3r(1.0, 3.0, 0.0)
820	Vector3r(8.0, 8.0, 0.0),Vector3r(6.0, 0.0, 0.0)	Vector3r(8.0, 8.0, 0.0),Vector3r(6.0, 0.0, 0.0)
743	Vector3r(8.0, 7.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 7.0, 0.0),Vector3r(9.0, 4.0, 0.0)
495	Vector3r(1.0, 8.0, 0.0),Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0),Vector3r(2.0, 4.0, 0.0)
620	Vector3r(3.0, 2.0, 0.0),Vector3r(5.0, 6.0, 0.0)	Vector3r(1.0, 8.0, 0.0),Vector3r(5.0, 6.0, 0.0)
529	Vector3r(7.0, 0.0, 0.0),Vector3r(9.0, 5.0, 0.0)	Vector3r(7.0, 0.0, 0.0),Vector3r(9.0, 5.0, 0.0)
878	Vector3r(0.0, 6.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 8.0, 0.0),Vector3r(0.0, 6.0, 0.0)
480	Vector3r(6.0, 4.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 6.0, 0.0),Vector3r(6.0, 4.0, 0.0)
523	Vector3r(5.0, 3.0, 0.0),Vector3r(0.0, 7.0, 0.0)	Vector3r(5.0, 3.0, 0.0),Vector3r(0.0, 7.0, 0.0)
696	Vector3r(0.0, 4.0, 0.0),Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0),Vector3r(0.0, 4.0, 0.0)
684	Vector3r(4.0, 2.0, 0.0),Vector3r(3.0, 4.0, 0.0)	Vector3r(4.0, 2.0, 0.0),Vector3r(3.0, 4.0, 0.0)
648	Vector3r(1.0, 7.0, 0.0),Vector3r(7.0, 9.0, 0.0)	Vector3r(1.0, 7.0, 0.0),Vector3r(7.0, 9.0, 0.0)
