TTD	ConcludedLocation	ActualLocation
868	Vector3r(7.0, 2.0, 0.0),Vector3r(9.0, 1.0, 0.0),Vector3r(6.0, 8.0, 0.0)	Vector3r(7.0, 2.0, 0.0),Vector3r(6.0, 8.0, 0.0),Vector3r(9.0, 1.0, 0.0)
576	Vector3r(6.0, 2.0, 0.0),Vector3r(0.0, 8.0, 0.0),Vector3r(5.0, 6.0, 0.0)	Vector3r(0.0, 8.0, 0.0),Vector3r(5.0, 6.0, 0.0),Vector3r(6.0, 2.0, 0.0)
831	Vector3r(8.0, 3.0, 0.0),Vector3r(3.0, 3.0, 0.0),Vector3r(5.0, 5.0, 0.0)	Vector3r(5.0, 5.0, 0.0),Vector3r(8.0, 3.0, 0.0),Vector3r(3.0, 3.0, 0.0)
954	Vector3r(3.0, 7.0, 0.0),Vector3r(7.0, 0.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 0.0, 0.0),Vector3r(3.0, 7.0, 0.0),Vector3r(7.0, 3.0, 0.0)
1147	Vector3r(5.0, 1.0, 0.0),Vector3r(7.0, 9.0, 0.0),Vector3r(5.0, 6.0, 0.0)	Vector3r(7.0, 9.0, 0.0),Vector3r(5.0, 6.0, 0.0),Vector3r(5.0, 1.0, 0.0)
1077	Vector3r(2.0, 3.0, 0.0),Vector3r(6.0, 0.0, 0.0),Vector3r(4.0, 6.0, 0.0)	Vector3r(6.0, 0.0, 0.0),Vector3r(4.0, 6.0, 0.0),Vector3r(2.0, 3.0, 0.0)
1146	Vector3r(3.0, 2.0, 0.0),Vector3r(7.0, 0.0, 0.0),Vector3r(5.0, 4.0, 0.0)	Vector3r(7.0, 0.0, 0.0),Vector3r(5.0, 4.0, 0.0),Vector3r(3.0, 2.0, 0.0)
913	Vector3r(7.0, 1.0, 0.0),Vector3r(8.0, 3.0, 0.0),Vector3r(5.0, 0.0, 0.0)	Vector3r(7.0, 1.0, 0.0),Vector3r(8.0, 3.0, 0.0),Vector3r(5.0, 0.0, 0.0)
713	Vector3r(4.0, 6.0, 0.0),Vector3r(0.0, 2.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 2.0, 0.0),Vector3r(7.0, 1.0, 0.0),Vector3r(4.0, 6.0, 0.0)
560	Vector3r(5.0, 4.0, 0.0),Vector3r(4.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 4.0, 0.0),Vector3r(3.0, 4.0, 0.0),Vector3r(4.0, 1.0, 0.0)
