TTD	ConcludedLocation	ActualLocation
959	Vector3r(6.0, 8.0, 0.0),Vector3r(9.0, 1.0, 0.0),Vector3r(7.0, 2.0, 0.0)	Vector3r(9.0, 1.0, 0.0),Vector3r(6.0, 8.0, 0.0),Vector3r(7.0, 2.0, 0.0)
1064	Vector3r(3.0, 4.0, 0.0),Vector3r(8.0, 1.0, 0.0),Vector3r(5.0, 3.0, 0.0)	Vector3r(3.0, 4.0, 0.0),Vector3r(8.0, 1.0, 0.0),Vector3r(5.0, 3.0, 0.0)
1202	Vector3r(9.0, 0.0, 0.0),Vector3r(7.0, 0.0, 0.0),Vector3r(4.0, 1.0, 0.0)	Vector3r(9.0, 0.0, 0.0),Vector3r(4.0, 1.0, 0.0),Vector3r(7.0, 0.0, 0.0)
747	Vector3r(7.0, 7.0, 0.0),Vector3r(1.0, 9.0, 0.0),Vector3r(4.0, 1.0, 0.0)	Vector3r(4.0, 1.0, 0.0),Vector3r(7.0, 7.0, 0.0),Vector3r(1.0, 9.0, 0.0)
644	Vector3r(0.0, 4.0, 0.0),Vector3r(6.0, 0.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 0.0, 0.0),Vector3r(0.0, 4.0, 0.0),Vector3r(3.0, 0.0, 0.0)
1631	Vector3r(4.0, 6.0, 0.0),Vector3r(0.0, 0.0, 0.0),Vector3r(9.0, 5.0, 0.0)	Vector3r(0.0, 0.0, 0.0),Vector3r(4.0, 6.0, 0.0),Vector3r(9.0, 5.0, 0.0)
555	Vector3r(0.0, 3.0, 0.0),Vector3r(8.0, 8.0, 0.0),Vector3r(7.0, 5.0, 0.0)	Vector3r(8.0, 8.0, 0.0),Vector3r(0.0, 3.0, 0.0),Vector3r(7.0, 5.0, 0.0)
1287	Vector3r(1.0, 4.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 1.0, 0.0),Vector3r(4.0, 2.0, 0.0),Vector3r(1.0, 4.0, 0.0)
553	Vector3r(7.0, 8.0, 0.0),Vector3r(6.0, 7.0, 0.0),Vector3r(1.0, 4.0, 0.0)	Vector3r(7.0, 8.0, 0.0),Vector3r(6.0, 7.0, 0.0),Vector3r(1.0, 4.0, 0.0)
732	Vector3r(5.0, 3.0, 0.0),Vector3r(1.0, 5.0, 0.0),Vector3r(2.0, 8.0, 0.0)	Vector3r(1.0, 5.0, 0.0),Vector3r(0.0, 3.0, 0.0),Vector3r(5.0, 3.0, 0.0)
