TTD	ConcludedLocation	ActualLocation
439	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
762	Vector3r(0.0, 3.0, 0.0)	Vector3r(0.0, 3.0, 0.0)
666	Vector3r(8.0, 0.0, 0.0)	Vector3r(8.0, 0.0, 0.0)
653	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
336	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
1113	Vector3r(8.0, 3.0, 0.0)	Vector3r(8.0, 3.0, 0.0)
1014	Vector3r(8.0, 2.0, 0.0)	Vector3r(8.0, 2.0, 0.0)
377	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
560	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
324	Vector3r(2.0, 8.0, 0.0)	Vector3r(2.0, 8.0, 0.0)
395	Vector3r(5.0, 9.0, 0.0)	Vector3r(5.0, 9.0, 0.0)
564	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
688	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
1178	Vector3r(7.0, 3.0, 0.0)	Vector3r(7.0, 3.0, 0.0)
354	Vector3r(2.0, 8.0, 0.0)	Vector3r(2.0, 8.0, 0.0)
430	Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
287	Vector3r(9.0, 5.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
403	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
392	Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
887	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
794	Vector3r(6.0, 5.0, 0.0)	Vector3r(6.0, 5.0, 0.0)
773	Vector3r(2.0, 8.0, 0.0)	Vector3r(2.0, 8.0, 0.0)
474	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
466	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
556	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
117	Vector3r(0.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
481	Vector3r(0.0, 6.0, 0.0)	Vector3r(0.0, 6.0, 0.0)
882	Vector3r(5.0, 5.0, 0.0)	Vector3r(5.0, 5.0, 0.0)
843	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
786	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
993	Vector3r(0.0, 8.0, 0.0)	Vector3r(0.0, 8.0, 0.0)
737	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
524	Vector3r(1.0, 7.0, 0.0)	Vector3r(1.0, 7.0, 0.0)
657	Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0)
648	Vector3r(9.0, 8.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
251	Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 2.0, 0.0)
455	Vector3r(8.0, 4.0, 0.0)	Vector3r(8.0, 4.0, 0.0)
534	Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
636	Vector3r(8.0, 3.0, 0.0)	Vector3r(8.0, 3.0, 0.0)
616	Vector3r(8.0, 3.0, 0.0)	Vector3r(8.0, 3.0, 0.0)
535	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
740	Vector3r(0.0, 5.0, 0.0)	Vector3r(0.0, 5.0, 0.0)
945	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
819	Vector3r(9.0, 6.0, 0.0)	Vector3r(9.0, 6.0, 0.0)
991	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 6.0, 0.0)
699	Vector3r(7.0, 7.0, 0.0)	Vector3r(7.0, 7.0, 0.0)
