TTD	ConcludedLocation	ActualLocation
579	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
225	Vector3r(2.0, 0.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
126	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
469	Vector3r(6.0, 0.0, 0.0)	Vector3r(6.0, 0.0, 0.0)
396	Vector3r(8.0, 7.0, 0.0)	Vector3r(8.0, 7.0, 0.0)
721	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 6.0, 0.0)
861	Vector3r(3.0, 7.0, 0.0)	Vector3r(3.0, 7.0, 0.0)
393	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
583	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
430	Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
519	Vector3r(6.0, 2.0, 0.0)	Vector3r(6.0, 2.0, 0.0)
498	Vector3r(9.0, 7.0, 0.0)	Vector3r(9.0, 7.0, 0.0)
602	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
796	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
390	Vector3r(0.0, 8.0, 0.0)	Vector3r(0.0, 8.0, 0.0)
750	Vector3r(8.0, 8.0, 0.0)	Vector3r(8.0, 8.0, 0.0)
551	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
524	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
458	Vector3r(3.0, 6.0, 0.0)	Vector3r(3.0, 6.0, 0.0)
1085	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
614	Vector3r(0.0, 3.0, 0.0)	Vector3r(0.0, 3.0, 0.0)
580	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
827	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
658	Vector3r(2.0, 3.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
843	Vector3r(0.0, 5.0, 0.0)	Vector3r(0.0, 5.0, 0.0)
594	Vector3r(0.0, 5.0, 0.0)	Vector3r(0.0, 5.0, 0.0)
550	Vector3r(6.0, 3.0, 0.0)	Vector3r(6.0, 3.0, 0.0)
956	Vector3r(7.0, 3.0, 0.0)	Vector3r(7.0, 3.0, 0.0)
383	Vector3r(5.0, 5.0, 0.0)	Vector3r(5.0, 5.0, 0.0)
855	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
595	Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
195	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
539	Vector3r(7.0, 6.0, 0.0)	Vector3r(7.0, 6.0, 0.0)
204	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
793	Vector3r(2.0, 1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
489	Vector3r(5.0, 4.0, 0.0)	Vector3r(5.0, 4.0, 0.0)
627	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 4.0, 0.0)
1660	Vector3r(2.0, 3.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
434	Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 2.0, 0.0)
910	Vector3r(5.0, 3.0, 0.0)	Vector3r(5.0, 3.0, 0.0)
191	Vector3r(5.0, 9.0, 0.0)	Vector3r(5.0, 9.0, 0.0)
796	Vector3r(7.0, 7.0, 0.0)	Vector3r(7.0, 7.0, 0.0)
209	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
973	Vector3r(3.0, 0.0, 0.0)	Vector3r(3.0, 0.0, 0.0)
513	Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
846	Vector3r(3.0, 9.0, 0.0)	Vector3r(3.0, 9.0, 0.0)
144	Vector3r(4.0, 1.0, 0.0)	Vector3r(4.0, 1.0, 0.0)
521	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 6.0, 0.0)
964	Vector3r(6.0, 3.0, 0.0)	Vector3r(6.0, 3.0, 0.0)
1370	Vector3r(7.0, 7.0, 0.0)	Vector3r(7.0, 7.0, 0.0)
259	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
506	Vector3r(4.0, 1.0, 0.0)	Vector3r(4.0, 1.0, 0.0)
801	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
370	Vector3r(0.0, 6.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
666	Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 6.0, 0.0)
434	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
642	Vector3r(8.0, 6.0, 0.0)	Vector3r(8.0, 6.0, 0.0)
983	Vector3r(5.0, 9.0, 0.0)	Vector3r(5.0, 9.0, 0.0)
1276	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
1198	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
549	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
601	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
644	Vector3r(8.0, 8.0, 0.0)	Vector3r(2.0, 8.0, 0.0)
464	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
